"opcode","hex","direction","coverageStatus","decodeState","aliasCount","aliasOpcodes","modelCount","handlerCount","readableModelCount","writableModelCount","placeholderModeled","comment","modelTypes","modelPaths","handlerTypes","handlerPaths"
"ServerCinematicFullScreenEffectRemove","0x0223","Server","modeled","named","1","ServerCinematicFullScreenEffectRemove","1","0","0","1","False","","ServerCinematicFullScreenEffectRemove","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicFullScreenEffectRemove.cs","",""
"ServerCinematicMissileActorRemove","0x0224","Server","modeled","named","1","ServerCinematicMissileActorRemove","1","0","0","1","False","","ServerCinematicMissileActorRemove","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicMissileActorRemove.cs","",""
"ServerCinematicVisualEffectEnd","0x0225","Server","modeled","named","1","ServerCinematicVisualEffectEnd","1","0","0","1","False","","ServerCinematicVisualEffectEnd","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicVisualEffectEnd.cs","",""
"ServerCinematicSequenceOffset","0x0226","Server","modeled","named","1","ServerCinematicSequenceOffset","1","0","0","1","False","adjusts scheduled cinematic action timing relative to current time","ServerCinematicSequenceOffset","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicSequenceOffset.cs","",""
"ServerCinematicFlags","0x0227","Server","modeled","named","1","ServerCinematicFlags","1","0","0","1","False","","ServerCinematicFlags","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicFlags.cs","",""
"ServerCinematicActorAdd","0x0228","Server","modeled","named","1","ServerCinematicActorAdd","1","0","0","1","False","","ServerCinematicActorAdd","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicActorAdd.cs","",""
"ServerCinematicStoryPanelDialogHide","0x0229","Server","modeled","named","1","ServerCinematicStoryPanelDialogHide","1","0","0","1","False","","ServerCinematicStoryPanelDialogHide","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicStoryPanelDialogHide.cs","",""
"ServerCinematicText","0x022A","Server","modeled","named","1","ServerCinematicText","1","0","0","1","False","","ServerCinematicText","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicText.cs","",""
"ServerCinematicDelayFlag","0x022B","Server","modeled","named","1","ServerCinematicDelayFlag","1","0","0","1","False","cinematic setup shell carrying one 32-bit delay and one trailing flag bit; bootstrap sends zeroed payload while Q3673 sets the flag before transition duration setup","ServerCinematicDelayFlag","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicDelayFlag.cs","",""
"ServerCinematicEnd","0x022C","Server","modeled","named","1","ServerCinematicEnd","1","0","0","1","False","","ServerCinematicEnd","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicEnd.cs","",""
"ServerCinematicWhiteOut","0x022D","Server","modeled","named","1","ServerCinematicWhiteOut","1","0","0","1","False","","ServerCinematicWhiteOut","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicWhiteOut.cs","",""
"ServerCinematicStart","0x022E","Server","modeled","named","1","ServerCinematicStart","1","0","0","1","False","","ServerCinematicStart","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicStart.cs","",""
"ServerCinematicActorSpline","0x022F","Server","modeled","named","1","ServerCinematicActorSpline","1","0","0","1","False","","ServerCinematicActorSpline","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicActorSpline.cs","",""
"ServerCinematicActorAngle","0x0230","Server","modeled","named","1","ServerCinematicActorAngle","1","0","0","1","False","","ServerCinematicActorAngle","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicActorAngle.cs","",""
"ServerCinematicActorMode","0x0231","Server","modeled","named","1","ServerCinematicActorMode","1","0","0","1","False","","ServerCinematicActorMode","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicActorMode.cs","",""
"ServerCinematicNotify","0x0232","Server","modeled","named","1","ServerCinematicNotify","1","0","0","1","False","","ServerCinematicNotify","Source/NexusForever.Network.World/Message/Model/Cinematic/ServerCinematicNotify.cs","",""
"ClientAccountItemClaimPendingItemGroup","0x0233","Client","handled","named","1","ClientAccountItemClaimPendingItemGroup","1","1","1","0","False","","ClientAccountItemClaimPendingItemGroup","Source/NexusForever.Network.World/Message/Model/ClientAccountItemClaimPendingItemGroup.cs","ClientAccountItemClaimPendingItemGroupHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountItemHandlers.cs"
"ServerUiWindowState","0x0237","Server","modeled","named","1","ServerUiWindowState","1","0","0","1","False","one 32-bit UI window state/id used by vehicle and vendor-style panes","ServerUiWindowState","Source/NexusForever.Network.World/Message/Model/ServerUiWindowState.cs","",""
"ServerPetClearFlair","0x023B","Server","modeled","named","1","ServerPetClearFlair","1","0","0","1","False","","ServerPetClearFlair","Source/NexusForever.Network.World/Message/Model/Pet/ServerPetClearFlair.cs","",""
"ClientStatisticsWatchdog","0x023C","Client","handled","named","1","ClientStatisticsWatchdog","1","1","1","0","False","","ClientStatisticsWatchdog","Source/NexusForever.Network.World/Message/Model/ClientStatisticsWatchdog.cs","ClientStatisticsWatchdogHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientStatisticsWatchdogHandler.cs"
"ClientStatisticsWindowOpen","0x023D","Client","handled","named","1","ClientStatisticsWindowOpen","1","1","1","0","False","","ClientStatisticsWindowOpen","Source/NexusForever.Network.World/Message/Model/ClientStatisticsWindowOpen.cs","ClientStatisticsWindowOpenHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientStatisticsWindowOpenHandler.cs"
"ClientStatisticsGfx","0x023E","Client","handled","named","1","ClientStatisticsGfx","1","1","1","0","False","","ClientStatisticsGfx","Source/NexusForever.Network.World/Message/Model/ClientStatisticsGfx.cs","ClientStatisticsGfxHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientStatisticsGfxHandler.cs"
"ClientStatisticsConnection","0x023F","Client","handled","named","1","ClientStatisticsConnection","1","1","1","0","False","","ClientStatisticsConnection","Source/NexusForever.Network.World/Message/Model/ClientStatisticsConnection.cs","ClientStatisticsConnectionHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientStatisticsConnectionHandler.cs"
"ClientStatisticsFramerate","0x0240","Client","handled","named","1","ClientStatisticsFramerate","1","1","1","0","False","","ClientStatisticsFramerate","Source/NexusForever.Network.World/Message/Model/ClientStatisticsFramerate.cs","ClientStatisticsFramerateHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientStatisticsFramerateHandler.cs"
"ClientPregameKeepAlive","0x0241","Client","handled","named","1","ClientPregameKeepAlive","1","1","1","0","False","","ClientPregameKeepAlive","Source/NexusForever.Network.World/Message/Model/Pregame/ClientPregameKeepAlive.cs","ClientPingHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientPingHandler.cs"
"ClientEncrypted","0x0244","Client","handled","named","1","ClientEncrypted","1","1","1","0","False","","ClientEncrypted","Source/NexusForever.Network/Message/Model/ClientEncrypted.cs","ClientEncryptedHandler","Source/NexusForever.Network/Message/Handler/ClientEncryptedHandler.cs"
"ServerCombatLog","0x0247","Server","modeled","named","1","ServerCombatLog","1","0","0","1","False","","ServerCombatLog","Source/NexusForever.Network.World/Message/Model/ServerCombatLog.cs","",""
"ClientCombatLogDisableOthers","0x0248","Client","handled","named","1","ClientCombatLogDisableOthers","1","1","1","0","False","","ClientCombatLogDisableOthers","Source/NexusForever.Network.World/Message/Model/Option/ClientCombatLogDisableOthers.cs","ClientCombatLogDisableOthersHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Option/ClientOptionHandlers.cs"
"ClientCombatLogDisables","0x0249","Client","handled","named","1","ClientCombatLogDisables","1","1","1","0","False","","ClientCombatLogDisables","Source/NexusForever.Network.World/Message/Model/Option/ClientCombatLogDisables.cs","ClientCombatLogDisablesHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Option/ClientOptionHandlers.cs"
"ServerCommodityAuctionFilledPartial","0x024A","Server","modeled","named","1","ServerCommodityAuctionFilledPartial","1","0","0","1","False","","ServerCommodityAuctionFilledPartial","Source/NexusForever.Network.World/Message/Model/Marketplace/ServerCommodityAuctionFilledPartial.cs","",""
"ServerCommodityAuctionRemoved","0x024B","Server","modeled","named","1","ServerCommodityAuctionRemoved","1","0","0","1","False","","ServerCommodityAuctionRemoved","Source/NexusForever.Network.World/Message/Model/Marketplace/ServerCommodityAuctionRemoved.cs","",""
"ServerCommodityInfoResults","0x024C","Server","modeled","named","1","ServerCommodityInfoResults","1","0","0","1","False","","ServerCommodityInfoResults","Source/NexusForever.Network.World/Message/Model/Marketplace/ServerCommodityInfoResults.cs","",""
"ServerHousingCommunityRename","0x024D","Server","modeled","named","1","ServerHousingCommunityRename","1","0","0","1","False","","ServerHousingCommunityRename","Source/NexusForever.Network.World/Message/Model/ServerHousingCommunityRename.cs","",""
"ServerQuestContractGoodQualityChanged","0x0252","Server","modeled","named","1","ServerQuestContractGoodQualityChanged","1","0","0","1","False","","ServerQuestContractGoodQualityChanged","Source/NexusForever.Network.World/Message/Model/ServerQuestContractGoodQualityChanged.cs","",""
"ClientCostumeSave","0x0255","Client","handled","named","1","ClientCostumeSave","1","1","1","0","False","","ClientCostumeSave","Source/NexusForever.Network.World/Message/Model/ClientCostumeSave.cs","ClientCostumeSaveHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Costume/ClientCostumeSaveHandler.cs"
"ClientCostumeSet","0x0256","Client","handled","named","1","ClientCostumeSet","1","1","1","0","False","","ClientCostumeSet","Source/NexusForever.Network.World/Message/Model/ClientCostumeSet.cs","ClientCostumeSetHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Costume/ClientCostumeSetHandler.cs"
"ServerCostumeSave","0x0257","Server","modeled","named","1","ServerCostumeSave","1","0","0","1","False","","ServerCostumeSave","Source/NexusForever.Network.World/Message/Model/ServerCostumeSave.cs","",""
"ServerCostumeItemUnlockMultiple","0x0258","Server","modeled","named","1","ServerCostumeItemUnlockMultiple","1","0","0","1","False","","ServerCostumeItemUnlockMultiple","Source/NexusForever.Network.World/Message/Model/ServerCostumeItemUnlockMultiple.cs","",""
"ServerCostumeItemUnlock","0x0259","Server","modeled","named","1","ServerCostumeItemUnlock","1","0","0","1","False","","ServerCostumeItemUnlock","Source/NexusForever.Network.World/Message/Model/ServerCostumeItemUnlock.cs","",""
"ServerCostumeItemList","0x025A","Server","modeled","named","1","ServerCostumeItemList","1","0","0","1","False","","ServerCostumeItemList","Source/NexusForever.Network.World/Message/Model/ServerCostumeItemList.cs","",""
"ClientCharacterCreate","0x025B","Client","handled","named","1","ClientCharacterCreate","1","1","1","0","False","","ClientCharacterCreate","Source/NexusForever.Network.World/Message/Model/Pregame/ClientCharacterCreate.cs","ClientCharacterCreateHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Character/ClientCharacterCreateHandler.cs"
"ClientPacked","0x025C","Client","handled","named","1","ClientPacked","1","1","1","0","False","the same as ClientEncrypted except the contents isn't encrypted?","ClientPacked","Source/NexusForever.Network/Message/Model/ClientPacked.cs","ClientPackedHandler","Source/NexusForever.Network/Message/Handler/ClientPackedHandler.cs"
"ServerPlayerCreate","0x025E","Server","modeled","named","1","ServerPlayerCreate","1","0","0","1","False","","ServerPlayerCreate","Source/NexusForever.Network.World/Message/Model/ServerPlayerCreate.cs","",""
"ServerEntityCreateAuxRow","0x025F","Server","modeled","named","1","ServerEntityCreateAuxRow","1","0","0","0","False","entity-create aux row; reader 140095c20","ServerEntityCreateAuxSingleRow","Source/NexusForever.Network.World/Message/Model/Entity/ServerEntityCreateAuxPackets.cs","",""
"ServerEntityCreateAuxRowList","0x0260","Server","modeled","named","1","ServerEntityCreateAuxRowList","1","0","0","1","False","counted 0x025F rows; reader 140095ce0","ServerEntityCreateAuxRowList","Source/NexusForever.Network.World/Message/Model/Entity/ServerEntityCreateAuxPackets.cs","",""
"ServerEntityCreateAuxBitPackedRowList","0x0261","Server","modeled","named","1","ServerEntityCreateAuxBitPackedRowList","1","0","0","1","False","counted 0x0263 rows; reader 140095a80","ServerEntityCreateAuxBitPackedRowList","Source/NexusForever.Network.World/Message/Model/Entity/ServerEntityCreateAuxPackets.cs","",""
"ServerEntityCreate","0x0262","Server","modeled","named","1","ServerEntityCreate","1","0","0","1","False","","ServerEntityCreate","Source/NexusForever.Network.World/Message/Model/ServerEntityCreate.cs","",""
"ServerEntityCreateAuxBitPackedRow","0x0263","Server","modeled","named","1","ServerEntityCreateAuxBitPackedRow","1","0","0","0","False","entity-create aux bit-packed row; reader 1400959c0","ServerEntityCreateAuxSingleBitPackedRow","Source/NexusForever.Network.World/Message/Model/Entity/ServerEntityCreateAuxPackets.cs","",""
"ServerEntityCreateAuxScalarList","0x0264","Server","modeled","named","1","ServerEntityCreateAuxScalarList","1","0","0","1","False","entity-create aux scalar list; reader 140095b40","ServerEntityCreateAuxScalarList","Source/NexusForever.Network.World/Message/Model/Entity/ServerEntityCreateAuxPackets.cs","",""
"ClientCREDDExchangeBuyOrderSubmit","0x0265","Client","handled","named","1","ClientCREDDExchangeBuyOrderSubmit","1","1","1","0","False","","ClientCREDDExchangeBuyOrderSubmit","Source/NexusForever.Network.World/Message/Model/CREDDExchange/ClientCREDDExchangeBuyOrderSubmit.cs","ClientCREDDExchangeBuyOrderSubmitHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientCREDDExchangeHandlers.cs"
"ClientCREDDExchangeCancelOrder","0x0267","Client","handled","named","1","ClientCREDDExchangeCancelOrder","1","1","1","0","False","","ClientCREDDExchangeCancelOrder","Source/NexusForever.Network.World/Message/Model/CREDDExchange/ClientCREDDExchangeCancelOrder.cs","ClientCREDDExchangeCancelOrderHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientCREDDExchangeHandlers.cs"
"ClientCREDDRedeem","0x0268","Client","handled","named","1","ClientCREDDRedeem","1","1","1","0","False","","ClientCREDDRedeem","Source/NexusForever.Network.World/Message/Model/CREDDExchange/ClientCREDDRedeem.cs","ClientCREDDRedeemHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientAccountTerminalHandlers.cs"
"ClientCREDDExchangeRequestInfo","0x0269","Client","handled","named","1","ClientCREDDExchangeRequestInfo","1","1","1","0","False","","ClientCREDDExchangeRequestInfo","Source/NexusForever.Network.World/Message/Model/CREDDExchange/ClientCREDDExchangeRequestInfo.cs","ClientCREDDExchangeRequestInfoHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientCREDDExchangeHandlers.cs"
"ServerCREDDExchangeInfoResults","0x026A","Server","modeled","named","1","ServerCREDDExchangeInfoResults","1","0","0","1","False","","ServerCREDDExchangeInfoResults","Source/NexusForever.Network.World/Message/Model/ServerCREDDExchangeInfoResults.cs","",""
"ClientCREDDExchangeSellOrderSubmit","0x026B","Client","handled","named","1","ClientCREDDExchangeSellOrderSubmit","1","1","1","0","False","","ClientCREDDExchangeSellOrderSubmit","Source/NexusForever.Network.World/Message/Model/CREDDExchange/ClientCREDDExchangeSellOrderSubmit.cs","ClientCREDDExchangeSellOrderSubmitHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Account/ClientCREDDExchangeHandlers.cs"
"ServerSubscriptionInfo","0x033D","Server","modeled","named","1","ServerSubscriptionInfo","1","0","0","1","False","","ServerSubscriptionInfo","Source/NexusForever.Network.World/Message/Model/Pregame/ServerSubscriptionInfo.cs","",""
"ServerCustomerSurveyRequest","0x033E","Server","modeled","named","1","ServerCustomerSurveyRequest","1","0","0","1","False","","ServerCustomerSurveyRequest","Source/NexusForever.Network.World/Message/Model/Support/ServerCustomerSurvey.cs","",""
"ClientCustomerSurveySubmit","0x033F","Client","handled","named","1","ClientCustomerSurveySubmit","1","1","1","0","False","","ClientCustomerSurveySubmit","Source/NexusForever.Network.World/Message/Model/Support/ClientCustomerSurvey.cs","ClientCustomerSurveySubmitHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientCustomerSurveySubmitHandler.cs"
"ServerSupportUInt32WideString","0x0347","Server","modeled","named","1","ServerSupportUInt32WideString","1","0","0","0","False","uint32 + wide string; reader 1400980f0","ServerSupportUInt32WideString","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32HeaderAndTriplets","0x0348","Server","modeled","named","1","ServerSupportUInt32HeaderAndTriplets","1","0","0","1","False","3x uint32 + 3x uint32 triplet; reader 1400a40c0","ServerSupportUInt32HeaderAndTriplets","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportEmptyAck349","0x0349","Server","modeled","named","1","ServerSupportEmptyAck349","1","0","0","0","False","empty; reader 14007d8e0","ServerSupportEmptyAck349","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32Ack34A","0x034A","Server","modeled","named","1","ServerSupportUInt32Ack34A","1","0","0","0","False","uint32; reader 14007ab50","ServerSupportUInt32Ack34A","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportEmptyAck34B","0x034B","Server","modeled","named","1","ServerSupportEmptyAck34B","1","0","0","0","False","empty; reader 14007d8e0","ServerSupportEmptyAck34B","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt5AndSixUInt32","0x034C","Server","modeled","named","1","ServerSupportUInt5AndSixUInt32","1","0","0","1","False","5-bit + 6x uint32; reader 1400a4040","ServerSupportUInt5AndSixUInt32","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32HeaderAndFourTriplets","0x034D","Server","modeled","named","1","ServerSupportUInt32HeaderAndFourTriplets","1","0","0","1","False","4x uint32 + 4x triplet; reader 1400a4150","ServerSupportUInt32HeaderAndFourTriplets","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportSurveyList","0x034E","Server","modeled","named","1","ServerSupportSurveyList","1","0","0","1","False","wide string + header + counted rows; reader 1400a4260","ServerSupportSurveyList","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32AndFlags","0x034F","Server","modeled","named","1","ServerSupportUInt32AndFlags","1","0","0","1","False","uint32 + 2-bit; reader 1400a3f70","ServerSupportUInt32AndFlags","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32Ack350","0x0350","Server","modeled","named","1","ServerSupportUInt32Ack350","1","0","0","0","False","uint32; reader 14007ab50","ServerSupportUInt32Ack350","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ServerSupportUInt32AndTwoTriplets","0x0351","Server","modeled","named","1","ServerSupportUInt32AndTwoTriplets","1","0","0","1","False","uint32 + 2x triplet + uint32; reader 1400a3fd0","ServerSupportUInt32AndTwoTriplets","Source/NexusForever.Network.World/Message/Model/Support/ServerSupportAuxPackets.cs","",""
"ClientCharacterDelete","0x0352","Client","handled","named","1","ClientCharacterDelete","1","1","1","0","False","","ClientCharacterDelete","Source/NexusForever.Network.World/Message/Model/Pregame/ClientCharacterDelete.cs","CharacterDeleteHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Character/CharacterDeleteHandler.cs"
"ServerEntityDestroy","0x0355","Server","modeled","named","1","ServerEntityDestroy","1","0","0","1","False","","ServerEntityDestroy","Source/NexusForever.Network.World/Message/Model/ServerEntityDestroy.cs","",""
"ClientDialogOpened","0x0356","Client","handled","named","1","ClientDialogOpened","1","1","1","0","False","","ClientDialogOpened","Source/NexusForever.Network.World/Message/Model/ClientDialogOpened.cs","ClientDialogOpenedHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Misc/ClientDialogOpenedHandler.cs"
"ServerDialogStart","0x0357","Server","modeled","named","1","ServerDialogStart","1","0","0","1","False","","ServerDialogStart","Source/NexusForever.Network.World/Message/Model/ServerDialogStart.cs","",""
"ServerDialogEnd","0x0358","Server","modeled","named","1","ServerDialogEnd","1","0","0","1","False","","ServerDialogEnd","Source/NexusForever.Network.World/Message/Model/ServerDialogEnd.cs","",""
"ServerQuestLuaEvent","0x0359","Server","modeled","named","1","ServerQuestLuaEvent","1","0","0","1","False","","ServerQuestLuaEvent","Source/NexusForever.Network.World/Message/Model/ServerQuestLuaEvent.cs","",""
"ClientQuestAbandon","0x035A","Client","handled","named","1","ClientQuestAbandon","1","1","1","0","False","","ClientQuestAbandon","Source/NexusForever.Network.World/Message/Model/ClientQuestAbandon.cs","ClientQuestAbandonHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestAbandonHandler.cs"
"ClientQuestAccept","0x035B","Client","handled","named","1","ClientQuestAccept","1","1","1","0","False","","ClientQuestAccept","Source/NexusForever.Network.World/Message/Model/ClientQuestAccept.cs","ClientQuestAcceptHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestAcceptHandler.cs"
"ServerQuestStateChange","0x035C","Server","modeled","named","1","ServerQuestStateChange","1","0","0","1","False","","ServerQuestStateChange","Source/NexusForever.Network.World/Message/Model/ServerQuestStateChange.cs","",""
"ClientQuestComplete","0x035D","Client","handled","named","1","ClientQuestComplete","1","1","1","0","False","","ClientQuestComplete","Source/NexusForever.Network.World/Message/Model/ClientQuestComplete.cs","ClientQuestCompleteHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestCompleteHandler.cs"
"ClientQuestSetIgnore","0x035E","Client","handled","named","1","ClientQuestSetIgnore","1","1","1","0","False","","ClientQuestSetIgnore","Source/NexusForever.Network.World/Message/Model/ClientQuestSetIgnore.cs","ClientQuestSetIgnoreHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestSetIgnoreHandler.cs"
"ServerQuestInit","0x035F","Server","modeled","named","1","ServerQuestInit","1","0","0","1","False","","ServerQuestInit","Source/NexusForever.Network.World/Message/Model/ServerQuestInit.cs","",""
"ClientCommunicatorAction","0x0360","Client","handled","named","1","ClientCommunicatorAction","1","1","1","0","False","","ClientCommunicatorAction","Source/NexusForever.Network.World/Message/Model/ClientCommunicatorAction.cs","ClientCommunicatorActionHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientCommunicatorActionHandler.cs"
"ServerQuestObjectiveUpdate","0x0361","Server","modeled","named","1","ServerQuestObjectiveUpdate","1","0","0","1","False","","ServerQuestObjectiveUpdate","Source/NexusForever.Network.World/Message/Model/ServerQuestObjectiveUpdate.cs","",""
"ServerQuestPeriodicReset","0x0362","Server","modeled","named","1","ServerQuestPeriodicReset","1","0","0","1","False","","ServerQuestPeriodicReset","Source/NexusForever.Network.World/Message/Model/ServerQuestPeriodicReset.cs","",""
"ServerQuestShared","0x0363","Server","modeled","named","1","ServerQuestShared","1","0","0","1","False","","ServerQuestShared","Source/NexusForever.Network.World/Message/Model/ServerQuestShared.cs","",""
"ClientQuestSetTracked","0x0364","Client","handled","named","1","ClientQuestSetTracked","1","1","1","0","False","","ClientQuestSetTracked","Source/NexusForever.Network.World/Message/Model/ClientQuestSetTracked.cs","ClientQuestSetTrackedHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestSetTrackedHandler.cs"
"ClientQuestRetry","0x0365","Client","handled","named","1","ClientQuestRetry","1","1","1","0","False","","ClientQuestRetry","Source/NexusForever.Network.World/Message/Model/ClientQuestRetry.cs","ClientQuestRetryHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Quest/ClientQuestRetryHandler.cs"
"ServerDisabledGameplaySystems","0x0366","Server","modeled","named","1","ServerDisabledGameplaySystems","1","0","0","1","False","","ServerDisabledGameplaySystems","Source/NexusForever.Network.World/Message/Model/Info/ServerDisabledGameplaySystems.cs","",""
"ServerForceKick","0x036A","Server","modeled","named","1","ServerForceKick","1","0","0","1","False","","ServerForceKick","Source/NexusForever.Network.World/Message/Model/Pregame/ServerForceKick.cs","",""
"ClientEmote","0x037E","Client","handled","named","1","ClientEmote","1","1","1","0","False","","ClientEmote","Source/NexusForever.Network.World/Message/Model/ClientEmote.cs","ClientEmoteHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Chat/ClientEmoteHandler.cs"
"ServerCostumeItemAux","0x037F","Server","modeled","named","1","ServerCostumeItemAux","1","0","0","0","False","0x18-byte costume/emote cluster aux","ServerCostumeItemAux","Source/NexusForever.Network.World/Message/Model/ServerClusterAuxPackets.cs","",""
"ClientCostumeItemForget","0x038B","Client","handled","named","1","ClientCostumeItemForget","1","1","1","0","False","","ClientCostumeItemForget","Source/NexusForever.Network.World/Message/Model/ClientCostumeItemForget.cs","ClientCostumeItemForgetHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Costume/ClientCostumeItemForgetHandler.cs"
"ClientPackedWorld","0x038C","Client","handled","named","1","ClientPackedWorld","1","1","1","0","False","","ClientPackedWorld","Source/NexusForever.Network.World/Message/Model/ClientPackedWorld.cs","ClientPackedWorldHandler","Source/NexusForever.WorldServer/Network/Message/Handler/ClientPackedWorldHandler.cs"
"ClientFriendshipAccountAddByEmail","0x0397","Client","handled","named","1","ClientFriendshipAccountAddByEmail","1","1","1","0","False","","ClientFriendshipAccountAddByEmail","Source/NexusForever.Network.World/Message/Model/Friendship/ClientFriendshipAccountAddByEmail.cs","ClientFriendshipAccountAddByEmailHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Friendship/ClientFriendshipAccountAddByEmailHandler.cs"
"ClientFriendshipAccountUpgradeFromFriend","0x0398","Client","handled","named","1","ClientFriendshipAccountUpgradeFromFriend","1","1","1","0","False","","ClientFriendshipAccountUpgradeFromFriend","Source/NexusForever.Network.World/Message/Model/Friendship/ClientFriendshipAccountUpgradeFromFriend.cs","ClientFriendshipAccountUpgradeFromFriendHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Friendship/ClientFriendshipAccountUpgradeFromFriendHandler.cs"
"ServerFriendshipAccountUpdate","0x0399","Server","modeled","named","1","ServerFriendshipAccountUpdate","1","0","0","1","False","","ServerFriendshipAccountUpdate","Source/NexusForever.Network.World/Message/Model/Friendship/ServerFriendshipAccountUpdate.cs","",""
"ServerFriendshipAccountRemovedCharacter","0x039A","Server","modeled","named","1","ServerFriendshipAccountRemovedCharacter","1","0","0","1","False","","ServerFriendshipAccountRemovedCharacter","Source/NexusForever.Network.World/Message/Model/Friendship/ServerFriendshipAccountRemovedCharacter.cs","",""
"ClientFriendshipAccountSetPublicDisplayName","0x039B","Client","handled","named","1","ClientFriendshipAccountSetPublicDisplayName","1","1","1","0","False","","ClientFriendshipAccountSetPublicDisplayName","Source/NexusForever.Network.World/Message/Model/Friendship/ClientFriendshipAccountSetPublicDisplayName.cs","ClientFriendshipAccountSetPublicDisplayNameHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Friendship/ClientFriendshipAccountSetPublicDisplayNameHandler.cs"
"ServerFriendshipAccountDisplayNameUpdate","0x039C","Server","modeled","named","1","ServerFriendshipAccountDisplayNameUpdate","1","0","0","1","False","","ServerFriendshipAccountDisplayNameUpdate","Source/NexusForever.Network.World/Message/Model/Friendship/ServerFriendshipAccountDisplayNameUpdate.cs","",""
"ClientFriendshipAccountSetPrivateData","0x039D","Client","handled","named","1","ClientFriendshipAccountSetPrivateData","1","1","1","0","False","","ClientFriendshipAccountSetPrivateData","Source/NexusForever.Network.World/Message/Model/Friendship/ClientFriendshipAccountSetPrivateData.cs","ClientFriendshipAccountSetPrivateDataHandler","Source/NexusForever.WorldServer/Network/Message/Handler/Friendship/ClientFriendshipAccountSetPrivateDataHandler.cs"
