Event	Addons
PublicEventInitiateVote	1
PublicEventUnitUpdate	1
PvP_CTF_FlagCollected	1
PvP_CTF_FlagDropped	1
PvP_CTF_FlagRecovered	1
PvP_CTF_FlagSocketed	1
PvP_CTF_FlagSpawned	1
PvP_CTF_FlagStolen	1
PvP_CTF_FlagStolenDroppedCollected	1
PVPMatchTeamInfoUpdated	1
QuestTrackChanged	1
QueueView_ShowMenu	1
QuitNowInterfaceMenuClick	1
RaiderinoInterfaceMenuClick	1
RaidLooterInterfaceList	1
RaidOpsChatBidding	1
RaidOpsLootHexAssignThisItem	1
RaidOpsNetworkBidding	1
RCSFire	1
RealPingToggle	1
ReceivedMessageEvent	1
RefreshInventoryBags	1
RefreshMail	1
ReloadUI	1
Reloadui_button	1
RemoveVarFromRover	1
RepairEverything	1
ReportProgress	1
RepTrak_Toggle	1
RequestStatistics	1
ResourceConversionOpen	1
RPCore_TraitChanged	1
RuneMaster_Show	1
Saikou:Cards_BattleComplete	1
Saikou:Cards_BattleStart	1
Saikou:Cards_MiniButton	1
Saikou:Cards_ShowPlayerCollection	1
Saikou:Cards_ShowPlayerStatistics	1
SalvageItemRequested	1
SAmotesInterfaceMenuEvent	1
ScientistExperimentationResult	1
ScriptResurrect	1
SendVarToML	1
SendVarToRover	1
Serenity_HUD_Config	1
SetProgressClickTimes	1
SettlerCACHEButtonInterfaceList	1
SGBFire	1
ShieldsOverloaded	1
ShowCommDisplay	1
ShowConfigWindow	1
ShowFFMenu	1
ShowIncapacitationBar	1
ShowKiruTweaks	1
ShowOptionsMenuInterface	1
ShowSCMenu	1
ShowTwinkiePlatesConfigurationWnd	1
ShowWatcherWindow	1
SimpleTimer_ShowHide	1
SlimRuneInterfaceMenuClick	1
SocialWindowHasBeenClosed	1
SpaceStashCore_OpenOptions	1
SpecInspectResponseBusy	1
SpecInspectResponseFailure	1
SpecInspectResponseSuccess	1
SpellEffectCast	1
SprintEnergyUpdated	1
SprintMeterPlusMenuClick	1
sskInterfaceMenuClicked	1
StatsPanelOn	1
StatView_ShowMenu	1
StopTalkingCommDisplay	1
SuggestedContent_ShowMatch	1
SupplySatchelClosed	1
SupplySatchelOpen	1
TapThatInterfaceList	1
TargetSpyMenuClicked	1
TargetView_ShowMenu	1
TelegraphFlasher_Config	1
Test_MouseReturnSignal	1
ThrottledEvent	1
ToggleAchievementsFromHUD	1
ToggleAchievementWindow	1
ToggleAddon_NN	1
ToggleAddon_Revisit	1
ToggleAltStar	1
ToggleAMPBuilds	1
ToggleBank	1
ToggleCensus	1
ToggleChallengesWindow	1
ToggleChatLinksHistory	1
ToggleCodex	1
ToggleContractOptions	1
ToggleContractor	1
ToggleContractorOptions	1
ToggleCurrencyMonitor	1
ToggleEntSpy	1
ToggleEntSpyEnable	1
ToggleFLexFurnish	1
ToggleForgottenChatConversations	1
ToggleFrozenPortraits	1
ToggleGalacticArchiveWindow	1
ToggleGalaxyMeter	1
ToggleGeminiConsole	1
ToggleGeneralist	1
ToggleGuild	1
ToggleGuildGrudge	1
ToggleGuildMail	1
ToggleHephaestusCraftQueue	1
ToggleJabbitholeWindow	1
ToggleKillroy	1
ToggleKiruChallenge	1
ToggleLiveStats	1
ToggleLoggerWindow	1
ToggleLUIHoldem	1
ToggleMenu	1
ToggleMountIt	1
ToggleMrFancyPants	1
ToggleMyAddon	1
ToggleNavMateOptionsWindow	1
ToggleNSkillSwap	1
ToggleOdyssey	1
ToggleOpenHouse	1
ToggleOptionsWindow	1
TogglePerspective	1
ToggleProgressLog	1
ToggleQuestLog	1
ToggleQuestOptions	1
ToggleRareTimer	1
ToggleRevengeWindow	1
ToggleRoverWindow	1
ToggleShowContracts	1
ToggleShowEssenceTracker	1
ToggleShowQuests	1
ToggleShowTrackedLoot	1
ToggleStopWatch	1
ToggleTankie	1
ToggleTextDisplayForm	1
ToggleTrackTor	1
ToggleTradeskillInventoryFromBag	1
ToggleTradeSkillsInventory	1
ToggleTranslator	1
ToggleWDILWindow	1
ToggleWelcomeWindow	1
ToggleWhoWindow	1
TrackThatInterfaceList	1
TradeskillAchievementComplete	1
TradeSkills_Learned	1
UnavailableMail	1
UnitDestoryed	1
UnitEnteredIdle	1
UnitOcclusionChanged	1
UnitTargetChanged	1
UnTargetedByUnit	1
UpdateFormationToolTip	1
UpdateGearScore	1
UpdateRewardProperties	1
UpdateSupplySatchelTooltips	1
VAEC_IsLoaded	1
VAEC_RegisterAddon	1
VECM_ToggleOptions	1
VFM_ToggleOptions	1
ViragsMultibuyer	1
VLM_ToggleOptions	1
VortexMeter_Toggle	1
VSRS_ToggleOptions	1
VSW_ToggleRunningState	1
WarPartyBattleClose	1
WarPartyBattleOpen	1
WelcomeWindow_Closed	1
WelcomeWindow_Loaded	1
WelcomeWindow_Open	1
WelcomeWindow_RequestParent	1
WelcomeWindow_Toggle	1
WhatToDoMenuClicked	1
WillYouBeMyNeighborOn	1
WindowMove	1
WorldChanged	1
WSRPHousing_InterfaceMenu	1
WSRPHousing_UpdateAnouncement	1
XPSConfigOnSave	1
YACMInterfaceList	1
