Addon	Categories
RaidOpsMemberModule+v1.22	Crafting,Events,GameLib,Group,Market,Network
RaidOpsv3.08m_API14	Crafting,Events,GameLib,Group,Loot,Market,Matching,Network
RandomMount	Events,GameLib
RareTimer-2.1	Events,GameLib,Matching,Network
raretracker-v2.3	Events,GameLib,Group
RavenMap_version1.3.1	Challenge,Crafting,Events,GameLib,Group,Mail,Market
RazorPlatesV2.7	Challenge,Events,GameLib,Group
ReadycheckShortcut-1.0.2	Events,Group
ReadyCheckWithoutRaidFrameBase	Events,GameLib,Group
RealAP	Events,GameLib
RealmWealth_1.4	Events,GameLib
RealPing	Events,GameLib
rearms-1.1.1	Events
ReCap	Events,GameLib
ReCrisis	Events,GameLib
RedAlert	Events,GameLib
ReDPS	Events,GameLib,Matching
RefreshEmpower	Events,GameLib
ReIA	Events,GameLib
Reload_redux-1.1	Events
ReloadButton	Events
ReloadUI	Events,GameLib
RemoveDefaultCastbars	Events
RemovePetPanel	(none)
RepairCostSummary_v0_3	Events,GameLib
reptrak_1.4a	Events,GameLib
RepTrak_Silk3_Edit_v1.1	Events,GameLib
ReQueue-0.5.2b	Events,GameLib,Group,Matching
ResourceCounter1.04	Crafting,Events,GameLib
RestXpBuffs_1.4	Events,GameLib,Housing
RestXPReminderv2.2.3	Events,GameLib,Housing
ResurrectHereConfirmation-1.2	GameLib
Revenge	Events,GameLib
revisit-v1.1.2a	Events,GameLib,Housing
Revolver-1.1	Events,GameLib
Rivalry-V06	Events,GameLib
RocketPig_0.83	Challenge,Crafting,Events,GameLib,Mail,Matching,Network
RollingDiceLootCouncil	Events,GameLib,Group,Loot,Network
RosterBoss	Events,GameLib,Group,Matching
RosterThrottle-1.0-8	(none)
Rover-1.39	Events,GameLib,Network
runeassistant-Beta_1.0	Crafting,Events,GameLib,Matching
RunecraftingFix	Crafting,Events,GameLib
RuneMaster_2.3.0	Crafting,Events,GameLib,Matching
SAmotes	Crafting,Events,GameLib,Group,Matching,Network
SAS_v1.5a	Events,GameLib
SassyBuilds	GameLib
SassyMedicSim	Crafting,Events,GameLib
ScanbotRAM_V0.3	Events,GameLib
SCastBar_Plus_v1.5.1-20152809	Events,GameLib
SCastBar_v1.3.1_20140616	Events,GameLib
Scrappy_v2.0.3	Events,GameLib
Scryer	Events,GameLib,Network
SellByName-9.0.1.9	Events,GameLib,Matching
SellSalvageKeep1.03	Crafting,Events,GameLib,Housing,Matching
senor-plow-v4.11	Crafting,Events,GameLib,Matching
Serenity_Bags-V2.075	Challenge,Crafting,Events,GameLib
Serenity_HUD-V1.71	Events,GameLib
settler-resource-tracker-1.01	Events,GameLib
SettlerCACHEButton-r2	Events
SettlerScroll-v1.0	Events,GameLib,Matching
SetUsUpTheBomb-0.4	Events,GameLib,Matching
ShiftEnterChat	(none)
ShiuTargetBuddy1_0_2	Events,GameLib
ShortChannelName1-6	(none)
ShortCircuit-1.3.1	Crafting,Events,GameLib
ShowFPS	Events,GameLib
ShowOff_1.2.3	Events,GameLib
Shut_The_Bleep_Up	Events,GameLib
ShutUpMeg-1.2	Events
SignatureBGone_v2	(none)
SimpleActuator	GameLib
SimpleBuffBar-v0.9	Events,GameLib
SimpleCalculator-v2	Events
SimpleFPSMeter_1.3	Events,GameLib
SimpleKinectEnergy1-0	GameLib
SimpleQuestTracker_v10.6b	Events,GameLib
SimpleSpellPower	GameLib
SimpleSuitPower1-2	GameLib
SimpleTimer-0.6.1	Events,GameLib
SimpleTrack_0.0.2	Events,GameLib
SimpleVolatility1-2	GameLib
SimplifiedXP-0.4	Events,GameLib
Skillswitch1.8	Events,GameLib
SkillTracker-v1.0.9	Crafting,Events,GameLib
Slashlist	Events
SlashRoll_v1.75	Events,GameLib,Group,Network
SlashTarget-0.3	Events,GameLib
SlashVisit_1.0.2	GameLib,Housing
SlimChallenges1-1	Challenge,Housing
SlimComm	(none)
SlimConfirm1-1	Events,GameLib
SlimFloatText1-2	Challenge,GameLib,Housing
SlimRune0.1	Crafting,Events,GameLib
SlimUnitFrame1-83	GameLib,Group
SlingDing_v1.3.1_20140616	Events,GameLib
SmartTelegraphsV055	Events,GameLib
SMDC_v3.1	Events,GameLib,Matching
SoeysFriends-1.0.2	Events
SolChat	Challenge,Crafting,Events,GameLib,Group,Matching,Network
Sound_Mute_Toggle1.2	Events,GameLib
SoundCharge	Events,GameLib
SpaceStash-b33	Challenge,Crafting,Events,GameLib,Housing,Mail,Market,Matching
Speed	Events,GameLib
Speedo-1.3	GameLib
SpeedyQT	Events,GameLib,Group
SpellPower-0.2.3b	Crafting,Events,GameLib
SpellSwap_v2.1	Events,GameLib
SpiralDecorCalculator	Events,GameLib,Housing
SpiralStaircaseHelper-1.2	Events
Sprintmeter_fix-api9	Events,GameLib
SprintMeterFix	(none)
SprintMeterPlusv120	Events,GameLib
SRSRatedBG-9.0.0.2	Events,GameLib,Matching
SSDps_1.4	Events,GameLib
SSToolkit-v1.05	Events,GameLib,Group
SSToolkitEx	Events,GameLib,Group
StahpBot	Events,GameLib
StalkerHelper_v1.3.3	Events,GameLib
StalkerResourceFix	Events,GameLib
StalkerResourceSystem_v1.2.1	Events,GameLib
StanceS_v0.9	GameLib
StarClock-0-1-1	Events,GameLib
StarLiteUI_v0.8b	Events,GameLib
StarPanel	Crafting,Events,GameLib
statcheatsheet-v1,0	Events
StatMeter	Events,GameLib
StatsPanel	Events,GameLib
StatView-70923.0	Events,GameLib
SteadyPlates85	Events,GameLib,Group,Matching
Steer-v1.0	Events,GameLib
SteerClear-1.2	Events,GameLib
StickyNote	Events,GameLib
StickyTooltips-1.1	GameLib
StickyWhisper1.2.1	Events,GameLib
Stocktaker_1.5.0b	Events,GameLib,Housing,Matching
StopWatchv1.1.1	Events,GameLib
StrikeHardMeter_1.1	Events,GameLib,Group
StuffPerSecond	Events,GameLib
SuitUp-1.0	Challenge,Events,GameLib,Group,Matching
Supernova_0.09	Events,GameLib,Market
SuppressVacuum	GameLib
Surls_Group_Builder-v1.3.7h	Events,GameLib,Group
Tankie+-+Drop+6	Events,Group
TapThat+1.9.1	Events,GameLib
TarDis+_010	Events,GameLib
TargetArrow-1.2	Events,GameLib
TargetFocus	Events,GameLib
TargetSpy_v0.8	Events,GameLib
TargetView-70923.0	Challenge,Events,GameLib
TaskbarAlerts_1.4b	Events,GameLib
TaxiMute-1.0.0	Events,GameLib
TBGO1	Events
Teamcoolinterrupt_V0.3.3	Events,GameLib,Group,Network
TelegraphFlasher_v2.0.2	Events,GameLib
TellMeMore	Events,GameLib,Network
TestCooldown_1.0	(none)
TextDisplay	Events,GameLib
TheZone_v1.3.7a	Events,GameLib,Group,Housing,Matching
ThisIsMe	Events,GameLib,Housing,Matching,Network
Threat-2.1.1	Events,GameLib,Group,Matching
ThreatMeter-0.8.5	Events,GameLib,Group,Matching
TieDye-1.31	GameLib
TikiToy	Events,GameLib
TimeFliesLikeAnArrow_1.0.1	Events,GameLib
TimeKeeper-master	Events
tLoot-v2.4	Events,GameLib,Housing,Loot,Matching
ToolTip_UK	Challenge,Crafting,Events,GameLib,Mail
ToolTipFilter4	GameLib
TrackMaster_2	Events,GameLib,Group,Mail
TrackMaster_Farming_2	Crafting,Events,GameLib
TrackMaster_Objectives_2	Challenge,Events,GameLib
TrackMaster_Subdue_2	Events,GameLib
TrackMaster_SubdueIntl-1.0	Events,GameLib
TrackThat+1.7.7	Challenge,Events,GameLib,Housing
TrackTor+v2.5	Events,GameLib
TradeskillSearchFix-1.3	Crafting,Events
TradeskillTracker	Crafting,Events,GameLib
Translator	Events,GameLib
twinkieplates-v1.4.10	Challenge,Events,GameLib
UnitedDialogs39	Challenge,Crafting,Events,GameLib,Housing
UpdatedAlers_v3	Challenge,Events,GameLib
UTF8	(none)
UtilityCoordinator+0.4	Events,GameLib,Group,Network
ValuePlates0.2b	Challenge,Events,GameLib,Mail
VendorAlertMessageMover5	GameLib
VideoProfiles	Events,GameLib
VikingBuddies-1.1.3	Events,GameLib,Group
VinceBuilds-v1.2	Events,GameLib
VinceRaidFrames-v0.17.2	Events,GameLib,Group,Loot,Network
VipersStopwatch_v1.1.4	Events,GameLib,Group,Housing
ViragsAutoCircuit-v2.36-3	Challenge,Crafting,Events,GameLib,Housing,Matching
ViragsAutoCoordinate-v1.21	Challenge,Crafting,Events,GameLib,Housing,Matching
ViragsMultibuyer-v1.23	Events,GameLib
ViragsSaveKeybind-v1.04	GameLib
ViragsSocial-v0.55	Crafting,Events,GameLib,Group,Housing,Matching,Network
ViragsTabOnlyHostile-v0.01	Events,GameLib
VisceralusHelperV16	Events,GameLib,Group
Visitor-v1.1.5	Events,GameLib,Housing
VisualLink-1.2	Events,GameLib
VortexMeter-1.3.5	Events,GameLib,Group
VPtrack	Events,GameLib,Group
VRFHelper1.01	Events,Group
WADS	Events,GameLib
Waffle+Party+1.1a	Events,GameLib,Group,Loot,Matching
WakeUp-v0.2.0	Events,GameLib,Group,Matching
WalatikiCommander+v1.5	Events,GameLib
WalaTikiTimer1.4	Events
WalatikiTimer_0.2	Events,GameLib
Watcher-v1.0.2	Events,GameLib
WeaponSwapper-v0.2	Events,GameLib
WeightMate_1.2.7	Crafting,GameLib
WhatDidILoot_1.3.3	Events,GameLib
WhatDidISalvage-v1.0	Events,GameLib
WhatHappened	Challenge,Events,GameLib,Housing,Matching
WhatHappened-Release_2.3	Challenge,Events,GameLib,Group,Housing,Matching
WhatTheRune2.2	Crafting,Events,GameLib
WhatToDo-1.0	Crafting,Events,GameLib,Matching
WhereAmI_v1.1.3	Events,GameLib
WhereYouAt_1.0.1	Events,GameLib
WhisperAlert_1.3.1	Events,GameLib
WhisperCatch_0.3.4.8	Events,GameLib
WhiteLoreText	Events,GameLib
WhoPlus	Events,GameLib
WhoWindow_1_0_0	Events,GameLib
WildBorne	Events
Wildminer-1.0.0.53	Challenge,Events,GameLib,Group
Wildstar-pythonic-optparse-0.3.20111128	(none)
WildStarCensus+1.0	Events,GameLib,Network
WildStarInstantMessenger-1.3.1	Events,GameLib,Group
WildStarLogger-2.0	Events,GameLib
wildsweeper_1.0.1	(none)
WillYouBeMyNeighbor-1.047	Crafting,Events,GameLib,Housing,Network
Wingman_Stage1	Events,GameLib,Group
WipeIncMoralizer_2.0	Events,GameLib
WiWiBar.v1.04	Events,GameLib
WorldBossHunter+v2.0	GameLib
WorldBossNotifier_0.8.1	Events,GameLib,Group,Mail,Network
WorldMarkers-0.1.3	Events,GameLib,Group
WoWChatColors11	Events,GameLib
ws-fun-1.2	(none)
WSCM2.2	(none)
WsGreenWall-1.1.0	Events,GameLib,Matching,Network
WSRPHousing_2.0.5	Challenge,Events,GameLib,Group,Housing,Network
Wulfys_GuildInviter	Events,GameLib
WYBMNRedux-1.3.0	Challenge,Events,GameLib,Housing,Matching,Network
WYP_1.1.0	Events,GameLib,Housing
XPBarEnhanced_1.2	Crafting,Events,GameLib,Group
XPS-1.3.10	Events,GameLib,Group,Matching
XpTracker	Events,GameLib
XyrakBoostLite	Events,GameLib
YACalendar-v0.6.4beta	Events,GameLib,Group,Matching,Network
YBattleCommands_v0.1.1	Events
YetAnotherCombatMod-v1.2.6	Events,GameLib
YetAnotherSCT	Challenge,Events,GameLib,Matching
YouDoneYet	Events,GameLib,Group
YouNoAskCancel-1.1.1	Events,GameLib,Housing,Market,Matching
ZChat	Events,GameLib
ZCombatLog	Events,GameLib
ZenRadar_v_2_1_2_2	Challenge,Events,GameLib
ZenScan_v_1_2_0_0	Events,GameLib
ZinMarker	Events,GameLib,Group,Network
ZInterrupt	Events,GameLib
ZThreat	Events,GameLib,Group
